,AMESim,AUTOSAR Builder,CATIA,ControlBuild,DS - FMU Export from Simulink,Dymola,FMI Toolbox for MATLAB/Simulink,JModelica.org,MapleSim,MWorks,Silver,SimulationX
AMESim,0,0,0,0,0,5,0,0,0,0,5,1
AVL CRUISE M,0,1,12,1,4,8,4,0,6,7,3,5
AVL Model.CONNECT,3,0,0,3,3,10,5,0,0,0,3,2
CATIA,7,0,12,0,15,22,9,4,0,0,8,5
ControlBuild,0,1,0,0,4,3,0,0,0,0,0,1
CosiMate,1,0,0,0,2,0,0,0,0,0,0,0
DS - FMU Import into Simulink,2,0,0,3,4,6,5,3,3,0,2,5
Dymola,9,0,6,4,10,73,18,11,1,0,16,2
FMI Blockset for Simulink,0,0,0,0,0,0,0,0,0,0,2,0
FMI Bench,3,1,12,4,13,28,9,4,9,3,8,7
FMI Toolbox for MATLAB/Simulink,4,0,0,0,0,14,10,8,0,0,0,5
FMPy,7,1,12,4,19,31,9,4,9,7,8,10
GT-SUITE,0,0,0,0,0,3,0,0,0,0,2,3
JModelica.org,3,0,0,1,1,7,0,3,0,0,4,0
MasterSim,0,0,3,1,3,5,3,0,2,5,0,3
MoBA Lab,5,1,12,4,17,31,9,4,9,6,6,5
PyFMI,3,0,0,1,2,7,0,4,0,0,4,0
Silver,6,0,6,3,4,29,9,8,3,0,10,2
SIMPACK,16,0,12,9,30,67,18,8,12,0,10,12
SimulationX,0,0,1,0,0,3,0,0,2,0,1,0
