,20-sim,AMESim,CATIA,DS - FMU Export from Simulink,dSPACE TargetLink,Dymola,FMI Toolbox for MATLAB/Simulink,FMUSDK,JModelica.org,MapleSim,MWorks,Silver,SimulationX
AMESim,0,0,5,4,0,13,4,4,0,3,0,2,5
AVL CRUISE M,0,0,10,4,0,6,4,1,0,6,2,2,5
AVL Model.CONNECT,0,0,0,3,0,10,2,4,0,2,0,1,0
CATIA,0,3,15,15,0,24,9,3,4,2,0,2,3
INTO-CPS Co-simulation Orchestration Engine (COE),1,6,10,3,0,17,12,12,6,6,0,2,1
CosiMate,0,0,0,3,0,0,0,2,0,0,0,0,0
DS - FMU Import into Simulink,0,0,0,4,0,3,5,4,3,3,0,0,0
dSPACE SYNECT,0,0,9,4,0,11,9,0,0,5,0,0,5
dSPACE VEOS,1,9,39,19,3,74,49,0,0,30,0,0,25
Dymola,0,2,5,10,0,61,19,24,12,7,0,10,1
FMI4cpp,1,0,0,15,0,0,7,6,0,4,0,0,1
FMI Bench,0,1,11,13,0,22,9,8,4,10,0,4,4
FMI Toolbox for MATLAB/Simulink,0,0,0,0,0,6,5,4,0,1,0,2,0
FMPy,1,0,11,19,0,25,9,8,4,11,1,4,5
GT-SUITE,0,0,0,0,0,3,0,0,0,3,0,2,0
JModelica.org,0,0,0,1,0,6,0,4,4,1,0,2,0
MasterSim,0,0,3,3,0,3,3,0,0,2,0,0,3
MoBA Lab,0,2,11,18,0,25,9,8,4,10,1,4,5
PragmaDev Studio,0,0,0,4,0,0,3,0,0,4,0,0,0
PyFMI,0,0,0,2,0,6,0,4,4,1,0,2,0
Silver,2,9,27,42,3,83,27,32,12,31,2,6,10
SIMPACK,0,3,5,15,0,25,9,8,4,8,0,4,5
SimulationX,0,0,0,0,0,1,0,0,0,2,0,0,0
xMOD,0,0,0,11,0,0,5,8,0,5,0,0,0
