,CATIA,DS - FMU Export from Simulink,Dymola,FMI Toolbox for MATLAB/Simulink,FMUSDK,JModelica.org,MapleSim,MWorks,OpenModelica,SimulationX,SystemModeler
AVL CRUISE M,8,2,5,5,1,0,6,6,1,3,0
AVL Model.CONNECT,0,3,9,0,4,0,3,0,0,0,0
CATIA,14,22,21,5,8,3,3,0,0,3,0
DS - FMU Import into Simulink,0,4,6,0,4,4,3,0,0,0,0
Dymola,5,52,57,3,24,9,25,0,0,4,0
FMI Toolbox for MATLAB/Simulink,0,0,6,0,3,0,2,0,0,0,0
FMPy,9,19,21,5,7,3,10,6,0,4,2
GT-SUITE,0,0,3,0,3,0,3,0,0,0,0
JModelica.org,0,0,2,0,2,5,6,0,0,0,0
MapleSim,10,6,14,6,0,0,9,0,0,6,2
MoBA Lab,11,19,25,5,8,4,12,7,4,4,0
PyFMI,0,3,6,0,4,4,6,0,0,0,0
Silver,5,4,24,4,12,4,9,0,0,0,0
SIMPACK,5,15,25,5,0,4,12,0,0,4,0
SimulationX,3,0,4,3,0,3,3,0,0,0,0
xMOD,0,11,0,0,8,0,5,0,0,0,0
